"","x"
"1407","GPD2"
"1408","DMPK"
"1409","TRPC1"
"1410","PKD2L1"
"1411","GNMT"
"1412","ADAMTS5"
"1413","MAT1A"
"1414","PIK3R6"
"1415","NDUFB9"
"1416","PIGF"
"1417","S1PR5"
"1418","CTSA"
"1419","GATA2"
"1420","SPARC"
"1421","GRM4"
"1422","MAP3K7"
"1423","DRD4"
"1424","HTR1B"
"1425","EEF1A1"
"1426","XRCC5"
"1427","CASP8"
"1428","HRH2"
"1429","KLK14"
"1430","CYP3A43"
"1431","CAV1"
"1432","IL17RC"
"1433","THBS2"
"1434","COL4A2"
"1435","CALM1"
"1436","CAMK2G"
"1437","MAP3K20"
"1438","NR1D2"
"1439","IL1A"
"1440","INPP1"
"1441","PTK6"
"1442","PKN2"
"1443","S100B"
"1444","CA5B"
"1445","CFTR"
"1446","PROKR1"
"1447","COL11A2"
"1448","FBP2"
"1449","PDPK1"
"1450","CYP2E1"
"1451","XPNPEP3"
"1452","GLRB"
"1453","MAP3K14"
"1454","ADAM10"
"1455","PIM2"
"1456","GPR183"
"1457","MERTK"
"1458","RET"
"1459","POSTN"
"1460","CD44"
"1461","REG1A"
"1462","FOXL2"
"1463","IRAK4"
"1464","SLC12A4"
"1465","IRS2"
"1466","GAA"
"1467","ATAD2B"
"1468","PPT1"
"1469","SBK3"
"1470","DPP7"
"1471","CXCR3"
"1472","ESR2"
"1473","CYP4F2"
"1474","MDH2"
"1475","NDUFS4"
"1476","HSPD1"
"1477","KDM7A"
"1478","COL5A3"
"1479","CA14"
"1480","MGAM"
"1481","EGF"
"1482","KCNQ3"
"1483","ABL1"
"1484","ADORA2A"
"1485","MAP3K19"
"1486","MCOLN3"
"1487","GHRL"
"1488","GJD3"
"1489","CCL28"
"1490","PTH2R"
"1491","OLR1"
"1492","HDAC3"
"1493","TPO"
"1494","PRKAB2"
"1495","HEXB"
"1496","GALK2"
"1497","AKR1C2"
"1498","IL2"
"1499","EGLN3"
"1500","RIT1"
"1501","SLC6A19"
"1502","GPR87"
"1503","STAR"
"1504","SLC18A2"
"1505","IL9R"
"1506","PRCP"
"1507","ADAM9"
"1508","PFKFB3"
"1509","PIK3CA"
"1510","APH1B"
"1511","SLC12A3"
"1512","P2RY10"
"1513","CAMK4"
"1514","PSME4"
"1515","MSH3"
"1516","PTPN11"
"1517","CHI3L1"
"1518","TPT1"
"1519","CASP10"
"1520","PDE3A"
"1521","HCN2"
"1522","TGFB1"
"1523","FANCC"
"1524","PIK3CD"
"1525","SCGB1A1"
"1526","AQP2"
"1527","FYN"
"1528","ERBB3"
"1529","CCR3"
"1530","BAZ2A"
"1531","MTR"
"1532","TRH"
"1533","NR0B2"
"1534","NDUFA8"
"1535","GLI1"
"1536","TNFRSF10C"
"1537","FGF1"
"1538","IFNG"
"1539","ENG"
"1540","PROS1"
"1541","HSPA1A"
"1542","ANPEP"
"1543","TPH1"
"1544","TPK1"
"1545","SGK2"
"1546","CDC42BPB"
"1547","PRTN3"
"1548","CA6"
"1549","CDKN2C"
"1550","IL12A"
"1551","LPL"
"1552","LEP"
"1553","DHFR"
"1554","NF2"
"1555","MAPKAPK2"
"1556","PRMT8"
"1557","DSG3"
"1558","GRP"
"1559","HCN1"
"1560","MT3"
"1561","TNNC2"
"1562","SLAMF1"
"1563","ATP2A2"
"1564","ADAM17"
"1565","CACNA1C"
"1566","PTGES"
"1567","PDE10A"
"1568","CACNA1G"
"1569","ALPP"
"1570","ATP1A4"
"1571","GRIN3A"
"1572","BIRC2"
"1573","AQP8"
"1574","CFI"
"1575","PSME1"
"1576","ADGRG3"
"1577","DLG4"
"1578","NDUFA11"
"1579","PPP1R1B"
"1580","ITPR3"
"1581","SLC11A1"
"1582","TSHR"
"1583","HLA-DRB5"
"1584","KMT2A"
"1585","TRPM8"
"1586","FZD7"
"1587","CDK17"
"1588","PHB2"
"1589","CROT"
"1590","SLC19A1"
"1591","ALMS1"
"1592","CALCR"
"1593","IRF2"
"1594","GPR34"
"1595","SLC6A7"
"1596","SUCNR1"
"1597","PSMB10"
"1598","PTHLH"
"1599","EIF2S1"
"1600","CEACAM3"
"1601","DCLK1"
"1602","CASP5"
"1603","TUBB1"
"1604","LTB"
"1605","CHRM5"
"1606","GUCY1A3"
"1607","SLC19A2"
"1608","GDNF"
"1609","TTN"
"1610","PARP3"
"1611","TFF3"
"1612","GABRA5"
"1613","CSF1R"
"1614","PLAT"
"1615","P2RY4"
"1616","FKBP1A"
"1617","NOS3"
"1618","TCN1"
"1619","GRIN1"
"1620","RPS6KA3"
"1621","CDC42"
"1622","RALBP1"
"1623","HMGCS1"
"1624","PGRMC1"
"1625","NTRK1"
"1626","SGK3"
"1627","GADD45G"
"1628","SCD"
"1629","NQO1"
"1630","CYSLTR2"
"1631","PRL"
"1632","IL31RA"
"1633","SAMD3"
"1634","SERPINC1"
"1635","TNFRSF11B"
"1636","S100A10"
"1637","SLCO1A2"
"1638","PYGB"
"1639","CHRNA6"
"1640","TMPRSS11D"
"1641","CLK3"
"1642","RORC"
"1643","MAPK3"
"1644","SCNN1D"
"1645","IL13"
"1646","PTGER1"
"1647","PKN1"
"1648","IL7R"
"1649","DYRK1B"
"1650","CEACAM5"
"1651","TRPV5"
"1652","FST"
"1653","NDUFB8"
"1654","KMO"
"1655","CDK14"
"1656","METAP1"
"1657","FOLR1"
"1658","ACE2"
"1659","PAPOLA"
"1660","MLKL"
"1661","SRPK3"
"1662","SLC36A1"
"1663","B3GAT1"
"1664","BCL2A1"
"1665","CHUK"
"1666","NOTCH2"
"1667","EPHA8"
"1668","PAK1"
"1669","WNT7A"
"1670","CUL4A"
"1671","COL2A1"
"1672","CHRNE"
"1673","DEGS1"
"1674","FGG"
"1675","STK38"
"1676","JAG1"
"1677","PDK3"
"1678","ADM"
"1679","CEACAM7"
"1680","RXRB"
"1681","ACVR1C"
"1682","KLK1"
"1683","KCNN1"
"1684","MMP7"
"1685","RIPK1"
"1686","TRPC6"
"1687","EPHB3"
"1688","DCLK2"
"1689","P2RY2"
"1690","MAPT"
"1691","DCPS"
"1692","NDUFB4"
"1693","TSPO"
"1694","GRIK3"
"1695","GABRR1"
"1696","IKBKB"
"1697","MAP3K10"
"1698","REN"
"1699","TH"
"1700","JMJD6"
"1701","CLEC4E"
"1702","INHBE"
"1703","RUNX3"
"1704","SLCO1B3"
"1705","CCR6"
"1706","TDO2"
"1707","FCGR3B"
"1708","UCHL3"
"1709","MC4R"
"1710","PGD"
"1711","MT-ND4L"
"1712","CTSZ"
"1713","CYP2C18"
"1714","ITGB5"
"1715","APP"
"1716","IL3RA"
"1717","NPC1L1"
"1718","PDGFC"
"1719","FASN"
"1720","ACPP"
"1721","TMPRSS2"
"1722","SLC44A4"
"1723","ULK1"
"1724","L3MBTL3"
"1725","CREB1"
"1726","PHF8"
"1727","KCNV2"
"1728","MAPK15"
"1729","KLK2"
"1730","CRABP2"
"1731","PLD2"
"1732","CTSB"
"1733","BLVRB"
"1734","TFPI2"
"1735","FN1"
"1736","MAP2K5"
"1737","HMGCR"
"1738","ANXA3"
"1739","SFTPA1"
"1740","NDUFB10"
"1741","FGFR1"
"1742","CDKN2D"
"1743","APOH"
"1744","TNFRSF13B"
"1745","P2RY1"
"1746","SDS"
"1747","MT1H"
"1748","IL5"
"1749","SLPI"
"1750","PSMA8"
"1751","ACVR1"
"1752","DPP4"
"1753","CCR4"
"1754","CD58"
"1755","FAS"
"1756","NLRP1"
"1757","ADCY1"
"1758","PDCD1"
"1759","EMP2"
"1760","PC"
"1761","MAP3K13"
"1762","PI4KA"
"1763","AKR1C3"
"1764","F2RL3"
"1765","IVL"
"1766","CD63"
"1767","CALY"
"1768","CALCB"
"1769","GGH"
"1770","NR1H3"
"1771","LCAT"
"1772","PTPRF"
"1773","GRB14"
"1774","LPAR6"
"1775","ALPPL2"
"1776","EPHA10"
"1777","PTGIR"
"1778","CEACAM1"
"1779","P2RX7"
"1780","TGFB3"
"1781","SIRT2"
"1782","TUBB2A"
"1783","NDUFA3"
"1784","NR2C2"
"1785","SLC9A3"
"1786","SLC28A3"
"1787","GAL"
"1788","KCNG2"
"1789","VCAM1"
"1790","MAP2K3"
"1791","VEGFC"
"1792","LAMB1"
"1793","TRIM24"
"1794","HSD11B2"
"1795","PIK3R4"
"1796","MARK3"
"1797","CA13"
"1798","TNFSF11"
"1799","SCNN1A"
"1800","TRPM4"
"1801","LIMK2"
"1802","HRH1"
"1803","TSC2"
"1804","CYP24A1"
"1805","GNRHR"
"1806","ACACA"
"1807","LIPA"
"1808","ITGA2"
"1809","GJA4"
"1810","CYP2C9"
"1811","PREP"
"1812","PTPRG"
"1813","NFKB1"
"1814","PLD1"
"1815","P2RX3"
"1816","FOSL1"
"1817","PTPRC"
"1818","TG"
"1819","CD19"
"1820","KCNQ1"
"1821","ABCA4"
"1822","ITGA3"
"1823","HIST4H4"
"1824","SDF4"
"1825","GRM5"
"1826","ATP1B3"
"1827","CTSE"
"1828","PHEX"
"1829","PPARD"
"1830","NR6A1"
"1831","DDC"
"1832","CALCA"
"1833","LAMC2"
"1834","SIAH1"
"1835","HNF4A"
"1836","THY1"
"1837","PI4KB"
"1838","GSTP1"
"1839","ITK"
"1840","IL1R2"
"1841","BRPF1"
"1842","GRM2"
"1843","GABRE"
"1844","SLC2A3"
"1845","ACTA1"
"1846","PDK1"
"1847","STK3"
"1848","S1PR4"
"1849","KCNJ10"
"1850","TASP1"
"1851","CHST11"
"1852","KLK3"
"1853","MMP15"
"1854","NUCB1"
"1855","STK17A"
"1856","PPID"
"1857","SCN5A"
"1858","VDAC3"
"1859","EEF2K"
"1860","PPA1"
"1861","CCND3"
"1862","COL6A5"
"1863","HAVCR2"
"1864","TRPC4"
"1865","CCL11"
"1866","IL2RG"
"1867","PRMT6"
"1868","IL4"
"1869","PDE6B"
"1870","TRPV4"
"1871","CLCN3"
"1872","RBP3"
"1873","F2R"
"1874","SCG5"
"1875","NCF2"
"1876","SLC1A3"
"1877","CRHR2"
"1878","IL1B"
"1879","CDH1"
"1880","CATSPER3"
"1881","TBP"
"1882","PDCD1LG2"
"1883","YY1"
"1884","STAG3"
"1885","GUCY2C"
"1886","SLC6A1"
"1887","SHH"
"1888","CD7"
"1889","PCSK6"
"1890","SDC1"
"1891","CLDN18"
"1892","SLC5A3"
"1893","SLC22A1"
"1894","PLA2G6"
"1895","RELA"
"1896","SERPINE1"
"1897","GABRA3"
"1898","GLRA3"
"1899","ALOX15B"
"1900","CCL22"
"1901","CD33"
"1902","EIF2AK4"
"1903","GPR1"
"1904","NOTCH4"
"1905","PIK3C2B"
"1906","NT5E"
"1907","KCNC4"
"1908","ERAP1"
"1909","RHD"
"1910","SNAP25"
"1911","ADORA2B"
"1912","PKN3"
"1913","TET2"
"1914","ABCB4"
"1915","MAP3K11"
"1916","C3"
"1917","MYL7"
"1918","SOD1"
"1919","SPR"
"1920","CBLB"
"1921","ZAP70"
"1922","KCNH8"
"1923","CDK18"
"1924","GHRHR"
"1925","TUBB8"
"1926","HCN4"
"1927","FAAH"
"1928","KLK6"
"1929","PDE6A"
"1930","CA2"
"1931","TNFRSF1B"
"1932","ATP1A3"
"1933","STAT6"
"1934","SLC5A1"
"1935","GPR55"
"1936","SMAD2"
"1937","FCGR2B"
"1938","RFC1"
"1939","LNPEP"
"1940","ALCAM"
"1941","HPN"
"1942","CA7"
"1943","P2RY8"
"1944","RNPEPL1"
"1945","AVPR1B"
"1946","LGR4"
"1947","TRPM5"
"1948","PDE6G"
"1949","BCOR"
"1950","TGM2"
"1951","TNIK"
"1952","NDUFAF2"
"1953","CYP2B6"
"1954","NTSR1"
"1955","CASP4"
"1956","MMP25"
"1957","ABCG4"
"1958","KLK5"
"1959","PTPN1"
"1960","ARSB"
"1961","TYRP1"
"1962","NOD1"
"1963","HDAC9"
"1964","NEK6"
"1965","HSPA9"
"1966","MAP3K2"
"1967","ADCY6"
"1968","DUSP6"
"1969","GLO1"
"1970","HTR1F"
"1971","SLC5A11"
"1972","ARG2"
"1973","NMUR2"
"1974","NDUFA9"
"1975","EPCAM"
"1976","CISH"
"1977","CCL7"
"1978","TNFRSF10A"
"1979","ETV1"
"1980","ROS1"
"1981","HAS3"
"1982","PRKCG"
"1983","KCNV1"
"1984","BRD1"
"1985","SERPINB3"
"1986","LGR5"
"1987","MLC1"
"1988","CRHR1"
"1989","MAP3K6"
"1990","EIF2AK3"
"1991","F7"
"1992","CLK4"
"1993","NDUFS7"
"1994","SLC25A1"
"1995","EPOR"
"1996","TGFB2"
"1997","MAPKAPK3"
"1998","GLP1R"
"1999","NR1D1"
"2000","CEL"
"2001","ADAMTS4"
"2002","LCK"
"2003","IL18"
"2004","TFF2"
"2005","FPR2"
"2006","KCND2"
"2007","FGA"
"2008","U2AF1"
"2009","BRSK1"
"2010","BLVRA"
"2011","GJA1"
"2012","GPR143"
"2013","FCER1G"
"2014","IFNAR2"
"2015","CSRP2"
"2016","TPMT"
"2017","INSR"
"2018","RARRES1"
"2019","NPBWR1"
"2020","LPAR3"
"2021","HDAC6"
"2022","DAPK3"
"2023","MYH7B"
"2024","DKK1"
"2025","TUBB6"
"2026","CLCN1"
"2027","CD55"
"2028","CAMK1D"
"2029","SOST"
"2030","NAT1"
"2031","KCNH3"
"2032","BCL2L11"
"2033","DGAT2"
"2034","STIM2"
"2035","GJB2"
"2036","CDH2"
"2037","GLS"
"2038","CRP"
"2039","CXCR5"
"2040","KDM4C"
"2041","TNFRSF13C"
"2042","CBR1"
"2043","TNNT2"
"2044","DSP"
"2045","IL17B"
"2046","MAP3K9"
"2047","ME3"
"2048","SPHK2"
"2049","APLNR"
"2050","RECQL"
"2051","CREBBP"
"2052","CKM"
"2053","RPL10"
"2054","MINK1"
"2055","INSRR"
"2056","IL10"
"2057","TXNRD2"
"2058","NR1H2"
"2059","DPYSL3"
"2060","QPCT"
"2061","BIRC3"
"2062","TLR2"
"2063","NDUFC2"
"2064","KDM4A"
"2065","DOCK10"
"2066","GCGR"
"2067","MTNR1A"
"2068","EHMT1"
"2069","IL4R"
"2070","CHRM4"
"2071","NDUFV1"
"2072","CD14"
"2073","GRIN2C"
"2074","CSNK1G3"
"2075","PSMB6"
"2076","GALR3"
"2077","TRPC7"
"2078","CDK9"
"2079","KCNH4"
"2080","CD3D"
"2081","HERC2"
"2082","RICTOR"
"2083","NRP1"
"2084","TEC"
"2085","FZD5"
"2086","IMPA1"
"2087","TICAM1"
"2088","CDK11B"
"2089","GRM8"
"2090","RAMP1"
"2091","LPO"
"2092","ENPEP"
"2093","IL13RA2"
"2094","HOXA9"
"2095","IL2RB"
"2096","NTF4"
"2097","GIPR"
"2098","LGMN"
"2099","GJB3"
"2100","NUAK1"
"2101","ODC1"
"2102","CD163"
"2103","CCND2"
"2104","PDGFA"
"2105","SCN8A"
"2106","HTR7"
"2107","TUBA1A"
"2108","RXFP4"
"2109","GPR68"
"2110","KIR2DL1"
"2111","IKZF1"
"2112","MTOR"
"2113","UGCG"
"2114","RBBP9"
"2115","RRM2B"
"2116","MAP4K3"
"2117","GRK1"
"2118","MYCN"
"2119","MAP2K7"
"2120","SLC25A29"
"2121","LAP3"
"2122","SCN1B"
"2123","BRSK2"
"2124","LTA4H"
"2125","SH2B3"
"2126","CCL3"
"2127","LAMB3"
"2128","GPR37L1"
"2129","PRDX1"
"2130","MAPKAP1"
"2131","AFP"
"2132","DPEP1"
"2133","LPAR4"
"2134","CHRNB4"
"2135","LAG3"
"2136","CSNK1A1"
"2137","GRK7"
"2138","PDE4A"
"2139","ITGB7"
"2140","CTSL"
"2141","GGCX"
"2142","FPR3"
"2143","OSGIN2"
"2144","FXN"
"2145","SSTR3"
"2146","ICAM3"
"2147","SF3B1"
"2148","SLC28A1"
"2149","MPI"
"2150","SLC16A1"
"2151","ALK"
"2152","ATP7B"
"2153","KCNC3"
"2154","AKR1D1"
"2155","HLA-DRB1"
"2156","HSPG2"
"2157","CDA"
"2158","UTS2R"
"2159","BCORL1"
"2160","ATF4"
"2161","AKR1B1"
"2162","MMP17"
"2163","GABBR1"
"2164","SUFU"
"2165","ALOX15"
"2166","PAH"
"2167","KCNH1"
"2168","F2"
"2169","PPP3CA"
"2170","ABCA1"
"2171","CD52"
"2172","BTN3A1"
"2173","UCP2"
"2174","CCR1"
"2175","PROZ"
"2176","BCL2L10"
"2177","HTRA1"
"2178","FLT1"
"2179","BCR"
"2180","IL7"
"2181","NR5A1"
"2182","LAMA3"
"2183","NDUFB7"
"2184","SOD2"
"2185","MAP4K5"
"2186","P4HTM"
"2187","GPR52"
"2188","ARID1A"
"2189","UGT1A7"
"2190","TUBB2B"
"2191","SP3"
"2192","KCNQ5"
"2193","STK38L"
"2194","ABCC2"
"2195","GJB6"
"2196","TBX21"
"2197","ACTR2"
"2198","ESRRA"
"2199","TRPV3"
"2200","SIRT5"
"2201","ATP5D"
"2202","COX7C"
"2203","SOCS1"
"2204","INHA"
"2205","CD2"
"2206","CTSD"
"2207","PRKAB1"
"2208","SLC15A1"
"2209","LIF"
"2210","ETV5"
"2211","COL24A1"
"2212","FPR1"
"2213","GP6"
"2214","IFNGR1"
"2215","NDUFA4"
"2216","EIF4E"
"2217","CD86"
"2218","LAMB4"
"2219","CD79A"
"2220","CD4"
"2221","SLAMF7"
"2222","METAP1D"
"2223","GABBR2"
"2224","CAPN2"
"2225","FBXW7"
"2226","FOXE1"
"2227","CASP7"
"2228","PLK3"
"2229","CYP19A1"
"2230","TNFSF10"
"2231","ERBB2"
"2232","TLR8"
"2233","MSR1"
"2234","STAG2"
"2235","CASP14"
"2236","HLA-DRA"
"2237","ALDH3A1"
"2238","PRKX"
"2239","RPE65"
"2240","PDHX"
"2241","CXCR4"
"2242","SLC34A2"
"2243","GSR"
"2244","TGFBR1"
"2245","FGFR4"
"2246","AIP"
"2247","FDPS"
"2248","KCNJ9"
"2249","DRD5"
"2250","HDAC7"
"2251","MMP16"
"2252","EDNRA"
"2253","SLC6A14"
"2254","UBE2D1"
"2255","MAP3K1"
"2256","STK10"
"2257","ENOSF1"
"2258","MGEA5"
"2259","KCNJ2"
"2260","CD6"
"2261","NQO2"
"2262","QRFPR"
"2263","WNK2"
"2264","NAPRT"
"2265","SAG"
"2266","DNAJB1"
"2267","OPRD1"
"2268","CD274"
"2269","IL15"
"2270","TPCN2"
"2271","MYH7"
"2272","CGA"
"2273","ITGAV"
"2274","PNP"
"2275","PLK2"
"2276","GPR39"
"2277","CRTC1"
"2278","AGT"
"2279","HMGB1"
"2280","FRK"
"2281","GGT1"
"2282","MPST"
"2283","PHKG1"
"2284","F2RL1"
"2285","BTK"
"2286","MAPK9"
"2287","TPP2"
"2288","MAST3"
"2289","COL6A3"
"2290","CD200"
"2291","PDHA1"
"2292","NDUFA2"
"2293","AKT1"
"2294","COL27A1"
"2295","MATK"
"2296","MCHR1"
"2297","ABCC3"
"2298","PROC"
"2299","FH"
"2300","CACNG7"
"2301","F5"
"2302","AURKC"
"2303","TAOK1"
"2304","PLA2G3"
"2305","SLC15A3"
"2306","PYY"
"2307","KCNJ4"
"2308","AGER"
"2309","DYRK3"
"2310","BDKRB1"
"2311","ALOX5AP"
"2312","KIR2DL3"
"2313","GUCY1B3"
"2314","VKORC1"
"2315","ITGB2"
"2316","GZMA"
"2317","SP7"
"2318","TXNRD1"
"2319","NDUFV3"
"2320","PSMD5"
"2321","TNFSF13B"
"2322","CAMK2B"
"2323","PXN"
"2324","IPO7"
"2325","TNF"
"2326","AQP5"
"2327","IDS"
"2328","DLL4"
"2329","CFB"
"2330","TYRO3"
"2331","COL15A1"
"2332","NGB"
"2333","TACSTD2"
"2334","KCNQ2"
"2335","TNNI2"
"2336","CLEC4C"
"2337","CYP26A1"
"2338","MAP2K6"
"2339","CETP"
"2340","NDUFC1"
"2341","UGDH"
"2342","NDUFA1"
"2343","GCLM"
"2344","ALOX5"
"2345","GAK"
"2346","TAC3"
"2347","CSF2RA"
"2348","SLC11A2"
"2349","H19"
"2350","CDKN1A"
"2351","CLK1"
"2352","EGLN2"
"2353","ACVR2B"
"2354","HMOX2"
"2355","PRKCD"
"2356","CTSH"
"2357","PRSS8"
"2358","MAP4K2"
"2359","CCR10"
"2360","SRI"
"2361","TUBA3E"
"2362","HCAR2"
"2363","PROCR"
"2364","SLC5A2"
"2365","ACHE"
"2366","RP11-390G14.7"
"2367","WEE1"
"2368","HIF1A"
"2369","VIM"
"2370","CORT"
"2371","PLTP"
"2372","CYP26C1"
"2373","CAMKK2"
"2374","CACNB1"
"2375","VEGFB"
"2376","ASGR1"
"2377","CIC"
"2378","NDUFS2"
"2379","FLCN"
"2380","CPB2"
"2381","VAMP1"
"2382","DBI"
"2383","VKORC1L1"
"2384","SLC27A1"
"2385","NR2C1"
"2386","ATP1B1"
"2387","RPS6KB1"
"2388","DHODH"
"2389","FFAR4"
"2390","NLK"
"2391","VHL"
"2392","BRD3"
"2393","FZD1"
"2394","GABRR2"
"2395","XDH"
"2396","MIP"
"2397","FGB"
"2398","BRAF"
"2399","GPNMB"
"2400","MFGE8"
"2401","TNFRSF1A"
"2402","VWF"
"2403","HES1"
"2404","PIK3CB"
"2405","CD247"
"2406","CCR5"
"2407","ITGAL"
"2408","BRD2"
"2409","KCNT1"
"2410","EPHA2"
"2411","UCHL1"
"2412","HOXB1"
"2413","MKNK2"
"2414","KCNF1"
"2415","GFAP"
"2416","TSC1"
"2417","KCNH6"
"2418","UGT1A1"
"2419","RAD50"
"2420","CD82"
"2421","MGA"
"2422","SLC25A5"
"2423","DGAT1"
"2424","CCL5"
"2425","CTNNB1"
"2426","RPTOR"
"2427","XIAP"
"2428","KDM5A"
"2429","BMP2K"
"2430","SLC1A6"
"2431","TRPV2"
"2432","LY96"
"2433","WT1"
"2434","TLR7"
"2435","RPS6KA1"
"2436","ADK"
"2437","TNC"
"2438","DRAM1"
"2439","MAP2K1"
"2440","ITGA11"
"2441","BPTF"
"2442","KCNH2"
"2443","GJD4"
"2444","SYK"
"2445","SMO"
"2446","OGG1"
"2447","CAMKK1"
"2448","KCNS3"
"2449","HOXD1"
"2450","KCNG3"
"2451","MMP2"
"2452","ERAP2"
"2453","ITGB1"
"2454","EZR"
"2455","MADCAM1"
"2456","PMVK"
"2457","SLCO1C1"
"2458","TBXAS1"
"2459","AKT2"
"2460","B2M"
"2461","ANXA5"
"2462","HDAC11"
"2463","DSG1"
"2464","STK24"
"2465","CACNA1B"
"2466","CBLC"
"2467","SELL"
"2468","IDH2"
"2469","INPP5D"
"2470","KCNJ11"
"2471","EGFR"
"2472","HYAL2"
"2473","NDUFB3"
"2474","GRPR"
"2475","ADORA1"
"2476","HTR3E"
"2477","BDNF"
"2478","PI4K2A"
"2479","EPHB4"
"2480","PLIN3"
"2481","CAMLG"
"2482","GATA4"
"2483","CEACAM6"
"2484","NDUFB6"
"2485","CST3"
"2486","TRPV1"
"2487","HNF1A"
"2488","CACNA1D"
"2489","UBA3"
"2490","PSMD6"
"2491","NEK11"
"2492","DDB1"
"2493","SLC29A4"
"2494","PIK3R3"
"2495","NDUFAF3"
"2496","OPRK1"
"2497","CD74"
"2498","CACNA2D4"
"2499","CD248"
"2500","PDE6C"
"2501","TUBA4A"
"2502","CD27"
"2503","IRF1"
"2504","SLC22A4"
"2505","PMEL"
"2506","PCSK1"
"2507","SAA1"
"2508","VAV1"
"2509","SERPINB2"
"2510","SFTPB"
"2511","CYP2J2"
"2512","GDA"
"2513","AQP6"
"2514","IDH1"
"2515","SMG1"
"2516","NPY4R"
"2517","ANXA1"
"2518","STK16"
"2519","CCL17"
"2520","KLK7"
"2521","MICA"
"2522","TMEM173"
"2523","NAGLU"
"2524","FGFR3"
"2525","CHRNA10"
"2526","NAGS"
"2527","CXCR6"
"2528","ARF6"
"2529","MAPK11"
"2530","IPO11"
"2531","KCNK13"
"2532","IPO13"
"2533","SPTLC2"
"2534","ABCC4"
"2535","EEF2"
"2536","HTT"
"2537","COL6A2"
"2538","PGC"
"2539","MUC1"
"2540","CACNA1F"
"2541","CD47"
"2542","PSEN1"
"2543","IL12B"
"2544","CA12"
"2545","NDUFB2"
"2546","CD40"
"2547","NDUFB5"
"2548","KRAS"
"2549","LAMA1"
"2550","IL17RB"
"2551","ATP7A"
"2552","SLC29A1"
"2553","MARK1"
"2554","CYP2D6"
"2555","TNFRSF11A"
"2556","S1PR2"
"2557","MAP2"
"2558","C1QA"
"2559","IL13RA1"
"2560","C8G"
"2561","TRPA1"
"2562","DLX3"
"2563","VDR"
"2564","APOA2"
"2565","SLC25A6"
"2566","TPP1"
"2567","CHD1"
"2568","NAMPT"
"2569","PSEN2"
"2570","AQP9"
"2571","NDUFA6"
"2572","AOAH"
"2573","FASLG"
"2574","ERCC6"
"2575","SYT2"
"2576","MYH6"
"2577","HRH3"
"2578","KRT20"
"2579","CHKA"
"2580","PAX2"
"2581","CEBPA"
"2582","CD5"
"2583","MYC"
"2584","KAT8"
"2585","CSF3R"
"2586","CSPG4"
"2587","NDUFB1"
"2588","AHRR"
"2589","MYD88"
"2590","DBP"
"2591","C5AR1"
"2592","CD3G"
"2593","FFAR2"
"2594","HSPA8"
"2595","CDK6"
"2596","NPFFR1"
"2597","AKR1A1"
"2598","C1QB"
"2599","HCK"
"2600","PRSS3"
"2601","IL10RB"
"2602","KCNC1"
"2603","BAP1"
"2604","THBS4"
"2605","ICAM1"
"2606","ATP6V1A"
"2607","CCL4"
"2608","NPEPPS"
"2609","DR1"
"2610","IFIT2"
"2611","RYR1"
"2612","NOTCH1"
"2613","SV2A"
"2614","CHRNB1"
"2615","APOE"
"2616","CDS1"
"2617","PEMT"
"2618","LIPG"
"2619","PAX5"
"2620","ECE1"
"2621","CBL"
"2622","ACVR1B"
"2623","TUBA3D"
"2624","ITGA4"
"2625","ACP5"
"2626","CA5A"
"2627","PRKCZ"
"2628","PTAFR"
"2629","ACKR3"
"2630","TNFSF14"
"2631","NF1"
"2632","KRT19"
"2633","IGFBP1"
"2634","IFNLR1"
"2635","SLC22A5"
"2636","APEH"
"2637","ATP1A1"
"2638","PI4K2B"
"2639","BCAT2"
"2640","AGRP"
"2641","PIK3R5"
"2642","COL18A1"
"2643","HLA-DQA1"
"2644","RARA"
"2645","GSTO1"
"2646","IL27"
"2647","CACNA1I"
"2648","PSMC1"
"2649","GCLC"
"2650","NDUFV2"
"2651","MAPK7"
"2652","SLC38A5"
"2653","TNFAIP1"
"2654","UCP1"
"2655","NPPA"
"2656","FOLH1"
"2657","FURIN"
"2658","HPSE"
"2659","HK1"
"2660","SLAMF6"
"2661","TMPRSS6"
"2662","CDKN2B"
"2663","MR1"
"2664","SLC12A2"
"2665","ACTB"
"2666","RB1"
"2667","HTR3A"
"2668","TAF1"
"2669","DRD2"
"2670","CDH17"
"2671","SMAD3"
"2672","ATP4A"
"2673","CACNA1A"
"2674","CLIP2"
"2675","TESK1"
"2676","ANO1"
"2677","CD8B"
"2678","GPR37"
"2679","PLA2G10"
"2680","CD3E"
"2681","BHLHE40"
"2682","WRN"
"2683","CTSS"
"2684","AIFM1"
"2685","EPO"
"2686","USP9Y"
"2687","CACNA1E"
"2688","NOS2"
"2689","KCNJ6"
"2690","DYRK4"
"2691","ITGA2B"
"2692","STAT4"
"2693","NNMT"
"2694","CRMP1"
"2695","OPLAH"
"2696","FOXJ1"
"2697","PRF1"
"2698","PYGL"
"2699","COMT"
"2700","MAP3K12"
"2701","PIM3"
"2702","PCBD1"
"2703","EREG"
"2704","CD9"
"2705","NCF1"
"2706","CBS"
"2707","SLC18A1"
"2708","NODAL"
"2709","YES1"
"2710","S100A8"
"2711","CHRNA3"
"2712","KCNG1"
"2713","SLC6A3"
"2714","KCND1"
"2715","ALOX12"
"2716","MTAP"
"2717","LAMA4"
